Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
6/28/19,HMAN2SNDS2,6/27/19,8,F,61.82
6/25/19,HMAADWAQTC,6/24/19,31,Q,4393.55
6/25/19,HMAADWAQTC,6/24/19,31,Q,1098.39
6/25/19,HMACJZX9CE,6/24/19,5,L,600
6/25/19,HMACJZX9CE,6/24/19,5,L,2400
6/20/19,HMAQSZ3CDA,6/19/19,4,Q,800
6/20/19,HMAQSZ3CDA,6/19/19,4,Q,200
10/4/19,HMARX8FF2M,10/3/19,3,P,120
9/30/19,HMANTZJMBJ,9/29/19,10,G,943.24
9/30/19,HMANTZJMBJ,9/29/19,10,G,3772.96
9/27/19,HMACE2RX34,9/26/19,5,L,1836
9/27/19,HMACE2RX34,9/26/19,5,L,459
9/24/19,HMAEZTZQA2,9/23/19,7,Q,390.45
9/24/19,HMAEZTZQA2,9/23/19,7,Q,1561.8
9/23/19,HMADBSHCJW,9/22/19,7,P,857.6
9/19/19,HMAKX8H323,9/18/19,9,N,648.84
9/19/19,HMAKX8H323,9/18/19,9,N,2595.36
9/17/19,HMAHBT3KS8,9/16/19,7,L,3089.6
9/17/19,HMAHBT3KS8,9/16/19,7,L,772.4
9/14/19,HMAH3JZRTA,9/13/19,7,Q,1564.52
9/14/19,HMAP4D8RXP,9/13/19,5,N,1756
9/14/19,HMAH3JZRTA,9/13/19,7,Q,391.13
9/14/19,HMAP4D8RXP,9/13/19,5,N,439
9/12/19,HMADJXB9NP,9/11/19,13,G,5570.24
9/12/19,HMADJXB9NP,9/11/19,13,G,1392.56
9/10/19,HMAKDW33ZM,9/9/19,4,Q,704
9/10/19,HMADTFRHB9,9/9/19,10,P,1184
9/10/19,HMAKDW33ZM,9/9/19,4,Q,176
9/10/19,HMADTFRHB9,9/9/19,10,P,296
9/8/19,HMAKHF3ETR,9/7/19,3,G,13
9/8/19,HMAAXWMWDW,9/7/19,4,N,349
9/8/19,HMAKHF3ETR,9/7/19,3,G,52
8/31/19,HMADZ4QAZX,8/30/19,3,L,1336
8/31/19,HMADZ4QAZX,8/30/19,3,L,334
8/29/19,HMANTHBDK8,8/28/19,5,Q,1311.2
8/29/19,HMANTHBDK8,8/28/19,5,Q,327.8
8/27/19,HMAQRF2FDH,8/26/19,4,P,124
